0,celestial - music with poems read by michael sheen,the recording of a 40-piece orchestra to accompany songs inspired by and featuring the poems of johnnie douglas-pennant (aged 7).,music/pop,15000,GBP,23,Tuesday,June,4051,40,0,0,failed
1,construyendo nuestro castillo,"hola, soy ricardo castillo cantautor campechano, tras años de amor a la música he decidido crear mi primer ep, y tu puedes ser parte...",music/pop,10000,MXN,60,Tuesday,June,500,1,0,0,failed
2,bryan stave: pop singer-songwriter debut album,"i have the first 3 tracks done, an official video complete, and 3 more songs in production...now i'm looking to finish the project!",music/pop,30000,USD,40,Monday,June,21122,57,0,0,failed
3,tvwitch (andrea peitsch music) ep,"it is time to record my songs in a real studio with real musicians, now that i have all the songs written and arranged how i want them.",music/pop,3700,USD,60,Monday,June,310,7,0,0,failed
4,new heartracer album (synth/electro pop),"""together, let's play."" a journey to record our next album at sunset sound studios w/ andrew lappin (passion pit, st. lucia)",music/pop,3000,USD,55,Monday,June,0,0,0,0,failed
5,anup r,"a music album for the songs i have written and composed. next step is to record them in studio, film videos and promote it.",music/pop,999999,USD,30,Friday,June,22,1,0,0,failed
6,sisters in arms-studio sessions,"music in the making, studio sessions for saving our sound and hopefully give some listeners a sense of feelgood music.",music/pop,20000,SEK,54,Wednesday,June,2550,15,0,0,failed
7,seasons: the ep,"josh metzler's debut ep seasons will detail the trials of love, through its ecstatic highs and its sobering lows.",music/pop,5000,USD,34,Monday,June,1292,47,0,0,failed
8,a&r sidebar,using the creative arts to improve our communities. improving diversity and social outreach for the music industry and professionals.,music/pop,2000,USD,21,Thursday,June,22,1,0,0,failed
9,b2b- bridge to brazil,"b2b is a group of young, talented, brazilian artist who are looking to make a difference in their community, country and the world!",music/pop,25000,USD,30,Wednesday,June,196,3,0,0,failed
10,making music dreams come true,"the ark 木船 is a performance place where dreams come true for budding singers, musicians and composers.",music/pop,80000,SGD,30,Sunday,June,95,2,0,0,failed
11,independent music songwriter and singer start record label,i want to create a new brand and avenue for upcoming artist to platform and promote music! i need logo and brand merchandise and music!,music/pop,10000,USD,30,Saturday,June,10,1,0,0,failed
12,"up up and away, super a!",the first children's book to include a muslim hijabi protagonist and culturally diverse superheroes who save the world through stem!,comics/graphic novels,1000,USD,30,Wednesday,November,1031,15,1,0,successful
13,secrets of the kush empire: book one,the discovery of the anunnaki technologies has sparked a new arms race. what was once sci-fi has become brutal reality.,comics/graphic novels,2000,USD,30,Tuesday,November,3291,158,1,0,successful
14,great big hawaiian dick 100-page hardcover graphic novel!,"kickstarter exclusive, 100-page hardcover edition of brand new hawaiian dick material. the hit comic book and soon-to-be nbc tv show!",comics/graphic novels,10000,USD,31,Wednesday,November,20794,648,1,1,successful
15,skutchbook,"in 138 comic pages shitty jobs, the dreams and obsessions of weirdos and the supernatural dovetail in a single shocking tale.",comics/graphic novels,750,USD,28,Wednesday,November,765,27,1,0,successful
16,wit's end,"plots against the throne, magic gone wrong and vanishing royalty are just part of daily life in this full color, all ages comic series.",comics/graphic novels,5500,USD,28,Tuesday,November,5605,72,1,0,successful
17,heroes haven graphic novel,we are looking for pre-orders from our fans for the first printing of the graphic novel heroes haven to be shipped in time for holiday,comics/graphic novels,2500,USD,29,Tuesday,November,3030,12,1,0,successful
18,heliosphere: a sci-fi comic,a conceptual biopunk comic about a girl named maya. see her adapt to many drastic changes after being trapped in the future.,comics/graphic novels,3000,USD,29,Monday,November,3278,143,1,1,successful
19,boké expressway vol. 1: chasing a song,"the sexy, trippy, techno fairy tale throws you full speed into a psychological adventure about the love of music.",comics/graphic novels,5000,USD,30,Monday,November,5535,130,1,1,successful
20,touching evil: the hardcover graphic novel,the first story arc of the award-winning comic touching evil is collected into a 240 page hardcover graphic novel!,comics/graphic novels,9500,USD,30,Monday,November,16934,328,1,0,successful
21,die kitty die!  by fernando ruiz and dan parent,what happens when a longtime comic book character has come to the end of her run? you kill her! but how? that's where the fun begins...,comics/graphic novels,25000,USD,32,Monday,November,56838,680,1,1,successful
22,nexus compendium - 35 years by baron and rude,the full story behind the legendary creation of mike baron and steve rude.,comics/graphic novels,15000,USD,18,Thursday,November,18158,349,1,1,successful
23,limited sketch edition wicked children by michele hartsoe,"this is a story about wicked children learning the ways of wickedness and encountering trolls, dragons, magic, and strange things.",comics/graphic novels,99,USD,30,Tuesday,November,400,9,1,0,successful
24,look cook book,a cookbook in a universal language at $1.50 per portion!,food/cookbooks,4250,GBP,57,Tuesday,September,4751,243,1,0,successful
25,cérès - a new take on southern european gastronomy in london,"a modern french-mediterranean restaurant in newington green, showcasing the best of british seasonal produce with unique monthly menus.",food/restaurants,7000,GBP,30,Tuesday,September,7365,58,1,0,successful
26,olio nuovo,olio nuovo - new harvest olive oil,food/small batch,7142,GBP,30,Tuesday,September,7577,43,1,0,successful
27,plant based fast food vol. 2 | sweet & savoury vegan recipes,the 2nd edition of plant based fast food - easy vegan sweet & savoury recipes!,food/vegan,25,AUD,15,Tuesday,September,170,46,1,0,successful
28,orbimed toothpaste with vitamin b12,brushing your teeth has never been more natural. the toothpaste for people who want to make an impact on the environment,food/vegan,2000,EUR,30,Monday,September,3167,46,1,0,successful
29,the serial killer podcast - 11oz. heat transforming mug,"dear listeners, if you are a fan of the serial killer podcast then this is a must-have! we need a min. order of 100 units to proceed!",food/drinks,5000,NOK,40,Saturday,September,5132,30,1,0,successful
30,the steep it real box - a tea box,a one time box of exclusive tea themed goodies and a choice of tea for all the tea lovers out there!,food/drinks,1800,USD,26,Friday,August,1834,34,1,0,successful
31,mjomii artisan dessert house,from a humble home bakery to a kiosk at polaris fashion place,food/small batch,7500,USD,26,Thursday,August,10648,75,1,0,successful
32,revival tea company,help us get our first batch of revival fresh crafted spiced chai out to the world!,food/drinks,5000,USD,35,Wednesday,August,5081,39,1,0,successful
33,multiverse vitamintea,hand picked from elevated gardens we are great tasting vitamin enriched tea that wants to get on your shelves at an affordable price.,food/drinks,12000,CAD,20,Wednesday,August,12827,48,1,0,successful
34,meeple perk,meeple perk is the north east's first dedicated board game cafe coming soon to newcastle-upon-tyne.,food/spaces,7500,GBP,30,Wednesday,August,8710,202,1,0,successful
35,gem bakery,startup online bakery in nyc selling vegan and gluten-free cookies,food/vegan,5000,USD,45,Tuesday,August,5067,52,1,0,successful
36,"let's press ""baïkonour"" on vinyl !","we are releasing our second ep on june 23th, and we would love to make a cool vinyl, our very first one ever.",music/pop,4000,EUR,30,Wednesday,June,2733,69,0,0,failed
37,mixtape/ep (another atmosphere),this is my first full length body of music. i've been working on this idea for almost 5 years and i can't wait for you all to hear it.,music/pop,500,USD,30,Monday,June,25,1,0,0,failed
38,worth the wait - a journey,"filling in the tools i need to create the music of my life story in this album, my debut album of songs..the story of my life...",music/pop,2300,USD,60,Thursday,June,0,0,0,0,failed
39,"in effect! ""the celebration of validity""","rhythmic funky pop is the best way to describe my sound.  \r
it's all about rocking out & feeling free. music is life & life is music!",music/pop,10000,USD,39,Thursday,June,465,4,0,0,failed
40,31 day to help fund zizzo world music for debut album!,we're excited about a set of songs you'll love! zizzo is ready to record his 1st album! together - let's make it happen,music/pop,15900,GBP,31,Wednesday,May,70,2,0,0,failed
41,help me produce my debut album professionally!,"i am a swedish singer and songwriter - however, i can't produce.\r
so, if you like my voice - why not help me into a professional studio",music/pop,20000,SEK,60,Tuesday,May,0,0,0,0,failed
42,ray ray - smiley face emoji (album),"i'll be producing an album of happy music. nothing depressing, i want people to get up and dance! genre pop.",music/pop,12000,USD,30,Saturday,May,15,1,0,0,failed
43,"durim's debut album - ""mosaic""",the more donations the more music we can bring to life.,music/pop,8000,USD,60,Friday,May,120,7,0,0,failed
44,dj gunner's comeback startup,i'm looking to purchase new equipment so that i can get back to entertaining my supporters.,music/pop,2500,USD,60,Monday,May,1,1,0,0,failed
45,renzo heat album & music video,we're raising funds for  the renzo heat album and music video.,music/pop,500,USD,60,Friday,May,0,0,0,0,failed
46,4eva turnt (tour),4eva turnt (tour) its a music tour that feels more like the greatest party ever! the release you need after along week of stress,music/pop,25000,USD,30,Monday,May,0,0,0,0,failed
47,hmong-pop group collaboration,"ever wonder what a hmong-pop group would be like? together, we are one step closer to less wondering and more in the making!",music/pop,4200,USD,45,Thursday,May,2015,35,0,0,failed
48,the peter pan manga - volume 2,"a manga adaptation of j.m. barrie’s classic story, peter pan. volume 2 will contain updated chapters 4-6, plus bonus content!",comics/graphic novels,2800,USD,30,Sunday,November,3351,75,1,0,successful
49,the minister sinister project,"an agent from antimatter earth shanghais our crooks to be ""good citizens"" back home, mike hoffman climaxes his series!",comics/graphic novels,500,USD,14,Friday,November,1065,20,1,0,successful
50,skyheart book i: the star seed,an all-ages fantasy-adventure graphic novel.,comics/graphic novels,78000,USD,30,Tuesday,November,101883,2181,1,1,successful
51,assault on fortress doom,"an epic new graphic novel about the greatest secret mission of ww2: a must for fans of mind-blowing adventure, that needs your backing!",comics/graphic novels,4500,GBP,30,Tuesday,November,7283,183,1,0,successful
52,brian pulido’s new graphic novel: la muerta #1: descent!,"help lady death’s creator, brian pulido, bring hard-boiled revenge story la muerta #1: descent -- to life!",comics/graphic novels,10000,USD,31,Tuesday,November,40088,790,1,1,successful
53,deeds not words,"meet emily. a deaf, edwardian superheroine from the wrong side of the london docks.",comics/graphic novels,2250,GBP,29,Monday,November,3665,144,1,1,successful
